element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
# a7b12430aec91945a8ea9e90e43e5e4d63ea85ba 

300,440,1,1,4,1000,1000,1000,3008382.798151,236.39071,2012347.654077,0.649855,55.884156,995742.219353
300,440,4,8,128,500,500,500,71736.641458,200.587975,53706.417266,0.688124,61.449911,17767.498182
300,440,4,8,128,2000,2000,2000,273018.409198,216.491559,202385.720652,0.82283,70.156013,70345.218144
300,440,2,4,32,250,250,250,118310.83169199999,202.274238,85645.21331,0.735475,70.617701,32391.990968
300,440,1,1,4,250,250,250,762570.937502,226.559411,513375.363821,0.74538,57.532113,248910.736777
300,440,4,8,128,250,250,250,40192.752739,203.252834,30821.224178,0.86452,69.471235,9097.939972
300,440,2,4,32,2000,2000,2000,905704.833065,210.236981,644373.060491,0.674997,63.257776,261057.60282
300,440,4,8,128,1000,1000,1000,139763.202965,199.481737,104198.819816,0.799495,70.408352,35293.693565
300,440,1,1,4,250,250,250,762570.937502,226.559411,513375.363821,0.74538,57.532113,248910.736777
600,880,1,4,16,250,250,250,759139.410781,204.290953,530189.401627,1.177399,133.152907,228611.387895
600,880,4,4,64,250,250,250,221648.12312699997,210.900433,162383.941696,1.549396,118.206831,58933.524771
300,440,2,4,32,2000,2000,2000,906037.2769770001,209.012397,644645.46657,0.630199,73.79945,261108.368361
300,440,1,4,16,2000,2000,2000,1691239.9069850002,198.343175,1180113.528827,0.57471,55.305811,510872.154462
300,440,4,8,128,2000,2000,2000,273223.742584,202.902731,202662.318415,0.725825,66.503549,70291.292064
300,440,4,4,64,2000,2000,2000,489567.528641,208.73686,358059.222301,0.69964,77.454805,131221.415035
