complex,150,220,1,1,4,0,0,0,18122.035472999996,220.487653,17681.888848,0.429446,30.910246,188.31928
complex,150,220,2,4,32,0,0,0,39669.966699,198.4771,39113.325442,0.45202,32.911246,324.800891
simple,150,220,2,2,16,0,0,0,10594.236119999998,208.958933,10027.628168,0.458829,35.150512,322.039678
n2,150,220,1,1,4,0,0,0,14961.085078,211.587462,14346.237003,0.505997,34.690123,368.064493
n2,150,220,2,4,32,0,0,0,32425.793054,209.982079,30880.885333,0.450549,37.914944,1296.560149
n2,150,220,2,2,16,0,0,0,38583.765124,193.703225,38134.791904,0.408113,36.709795,218.152087
simple,150,220,1,1,4,0,0,0,19062.715954,221.933952,18502.838183,0.472427,37.001274,300.470118
simple,150,220,2,4,32,0,0,0,36109.642269,201.053473,35680.387753,0.51682,37.128296,190.555927
complex,150,220,2,2,16,0,0,0,46220.414756,196.466517,45849.01105,0.426018,33.011428,141.499743
complex,150,220,1,1,4,0,0,0,63174.102527999996,200.181243,62755.790464,0.492525,32.399883,185.238413
complex,150,220,2,4,32,0,0,0,8263.722725,197.239488,7818.255673,0.581877,37.886513,209.759174
simple,150,220,2,2,16,0,0,0,19949.423957,193.345852,19123.234034,0.435829,33.157629,599.250613
n2,150,220,1,1,4,0,0,0,16679.696794,197.938371,16118.643368,0.74571,57.731582,304.637763
n2,150,220,2,4,32,0,0,0,29392.849945,198.676638,27857.341367,0.475001,36.061967,1300.294972
n2,150,220,2,2,16,0,0,0,40644.702246999994,201.118831,40234.602992,0.427803,35.472633,173.079988
simple,150,220,1,1,4,0,0,0,17062.067287,200.811217,15970.931289,0.53188,36.482799,853.310102
simple,150,220,2,4,32,0,0,0,28961.670939,193.029946,28539.008943,0.675193,36.515788,192.441069
complex,150,220,2,2,16,0,0,0,51267.352505999996,199.472629,50826.794932,0.465073,43.327151,197.292721
complex,150,220,1,1,4,0,0,0,54709.998723000004,203.97985,54313.937923,0.609573,46.767414,144.703963
complex,150,220,2,4,32,0,0,0,13969.546882,203.968693,13543.919146,0.486922,43.402203,177.769918
simple,150,220,2,2,16,0,0,0,9700.421508000001,195.539785,9278.016363,0.401451,36.193592,190.270317
n2,150,220,1,1,4,0,0,0,17689.105740000003,207.334467,16481.212292,0.50432,38.281598,961.773063
n2,150,220,2,4,32,0,0,0,31067.607399000004,204.320854,30637.912625,1.886178,50.69381,172.793932
n2,150,220,2,2,16,0,0,0,32492.065203999995,199.479126,32039.776605,0.435948,36.250954,216.122571
simple,150,220,1,1,4,0,0,0,16129.518716,199.169859,15190.599372,0.481585,34.768442,704.499458
simple,150,220,2,4,32,0,0,0,20360.637687000002,202.087326,19888.953001,0.393667,37.245435,231.958258
complex,150,220,2,2,16,0,0,0,29082.596382999996,201.861842,28626.049062,0.556192,37.210472,216.918815
complex,150,220,1,1,4,0,0,0,56583.053379000004,200.266315,56174.711085,0.468929,33.092401,174.514649
complex,150,220,2,4,32,0,0,0,14319.687725,195.129689,13891.187532,0.514396,36.394203,196.461905
simple,150,220,2,2,16,0,0,0,10666.43714,198.697594,9669.183896,0.408984,36.276136,761.87053
n2,150,220,1,1,4,0,0,0,17259.773959000002,197.766131,16818.726382,0.447184,34.687998,208.146264
n2,150,220,2,4,32,0,0,0,27104.047058000004,200.968844,26689.470431,0.598514,53.589065,159.420204
n2,150,220,2,2,16,0,0,0,43640.304157,201.178506,43170.034401,0.397549,37.175035,231.518666
simple,150,220,1,1,4,0,0,0,16745.476172,202.469255,16250.653649,0.602331,39.450798,252.300139
simple,150,220,2,4,32,0,0,0,26139.596111,195.529182,25726.584296,0.510152,44.33274,172.639741
complex,150,220,2,2,16,0,0,0,49209.184401,203.111472,48729.548033,0.494687,35.562915,240.467294
complex,150,220,1,1,4,0,0,0,55318.561419000005,198.916512,54899.439767,0.647308,35.778785,183.779047
complex,150,220,2,4,32,0,0,0,16530.750223,195.194791,15796.137344,0.464664,36.822806,502.130618
simple,150,220,2,2,16,0,0,0,9424.00885,196.649443,8971.782326,0.436096,54.494877,200.646108
n2,150,220,1,1,4,0,0,0,17468.55951,207.777779,16096.111476,0.770836,43.161091,1120.738328
n2,150,220,2,4,32,0,0,0,27479.902714,196.232642,27070.681194,0.418985,34.696044,177.873849
n2,150,220,2,2,16,0,0,0,29102.777316,194.601221,28433.1806,0.393222,33.369824,441.232449
simple,150,220,1,1,4,0,0,0,17684.728972000004,200.581127,17219.494911,0.471406,43.663578,220.51795
simple,150,220,2,4,32,0,0,0,24990.790299,191.579544,24540.482892,0.432373,37.894499,220.400991
complex,150,220,2,2,16,0,0,0,47012.093108999994,195.214474,46600.005389,0.385073,36.861785,179.626388
complex,150,220,1,1,4,0,0,0,60317.715738000006,199.705726,59893.958743,0.494792,29.957004,193.599473
complex,150,220,2,4,32,0,0,0,8419.899198,197.387559,7946.30449,0.5632,34.660937,240.983012
simple,150,220,2,2,16,0,0,0,18486.759549,196.58568,18032.372648,0.394964,35.207659,222.198598
n2,150,220,1,1,4,0,0,0,15563.095872,198.92268,14977.259761,0.475951,35.946377,350.491103
n2,150,220,2,4,32,0,0,0,18035.059350000003,192.797996,17603.755375,0.450807,59.574194,178.480978
n2,150,220,2,2,16,0,0,0,38891.702207999995,199.445103,38483.738022,0.414587,34.558413,173.546083
simple,150,220,1,1,4,0,0,0,17143.788,209.990029,16539.920345,0.619906,39.849036,353.408684
simple,150,220,2,4,32,0,0,0,32990.46842,206.959138,32537.896978,0.503662,38.257709,206.850933
