element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
# a7b12430aec91945a8ea9e90e43e5e4d63ea85ba 
300,440,4,4,64,250,250,250,66566.869678,170.739556,49049.018821,0.461549,49.529488,17297.120264
300,440,8,4,128,250,250,250,39341.771788,168.362846,29266.516611,0.523031,51.297201,9855.072099
300,440,8,4,128,2000,2000,2000,272568.623765,176.654993,201390.073842,0.499068,48.014464,70953.381398
300,440,8,4,128,500,500,500,72610.589934,169.812525,53572.649441,0.414125,53.079353,18814.63449
300,440,8,4,128,1000,1000,1000,138593.348769,170.381045,102262.78505,0.519115,50.363769,36109.29979
300,440,2,4,32,500,500,500,230242.07833499997,176.377953,164444.282355,0.447085,51.815328,65569.155614
300,440,4,4,64,1000,1000,1000,246555.632723,178.405763,180334.155385,0.547881,52.035187,65990.488507
300,440,2,4,32,1000,1000,1000,450252.588188,171.189473,324265.557888,0.436724,51.422682,125763.981421
300,440,4,4,64,500,500,500,125939.78016299999,171.365867,92261.056937,0.461734,49.403729,33457.491896
300,440,2,4,32,250,250,250,116748.658206,172.834027,84528.699394,0.529189,51.450908,31995.144688
300,440,4,4,64,2000,2000,2000,489825.379753,176.595447,358661.657558,0.396992,46.90991,130939.819846
300,440,2,4,32,2000,2000,2000,894417.448869,165.489797,643452.849366,0.402462,50.437911,250748.269333
300,440,4,4,64,250,250,250,65825.927826,169.809642,48406.122925,0.485843,53.479049,17196.030367
300,440,8,4,128,250,250,250,39124.191594,168.006516,29106.289152,0.481429,48.963778,9800.450719
300,440,8,4,128,2000,2000,2000,272206.834712,166.829479,201051.90167,0.510334,51.332179,70936.26105
300,440,8,4,128,500,500,500,72333.463536,170.172269,53684.603652,0.501839,51.655821,18426.529955
300,440,8,4,128,1000,1000,1000,139189.760198,168.976262,102846.331882,0.562352,49.391587,36124.498115
300,440,2,4,32,500,500,500,230248.921298,168.986292,164316.276552,0.487689,53.110221,65710.060544
300,440,4,4,64,1000,1000,1000,247285.242834,169.314406,181141.268065,0.50703,50.712825,65923.440508
300,440,2,4,32,1000,1000,1000,449535.209586,169.481917,323595.371441,0.451623,52.879774,125717.024831
300,440,4,4,64,500,500,500,126395.99861899999,168.206901,92743.726922,0.440704,47.504902,33436.11919
300,440,2,4,32,250,250,250,117874.457453,168.387676,84561.698211,0.44566,52.378272,33091.547634
300,440,4,4,64,2000,2000,2000,487972.56351,172.685411,356909.57337,0.518433,46.64199,130843.144306
300,440,2,4,32,2000,2000,2000,893731.4718680002,171.527141,642746.141303,0.395586,46.042508,250767.36533
300,440,4,4,64,250,250,250,66343.83811699999,167.434057,48887.49679,0.472965,53.072302,17235.362003
300,440,8,4,128,250,250,250,39083.703892000005,179.479238,29043.460168,0.516769,50.460056,9809.787661
300,440,8,4,128,2000,2000,2000,273023.076632,167.904652,201630.57051,0.512627,50.067673,71174.02117
300,440,8,4,128,500,500,500,72514.16858,169.373057,53748.157496,0.47433,50.843681,18545.320016
300,440,8,4,128,1000,1000,1000,139791.52739899998,167.46211,103576.987874,0.544348,49.454505,35997.078562
300,440,2,4,32,500,500,500,229982.07938100002,170.306008,164229.974339,0.512555,53.765176,65527.521303
300,440,4,4,64,1000,1000,1000,246860.659159,166.782988,180677.97688,0.438352,49.014273,65966.446666
300,440,2,4,32,1000,1000,1000,449756.715246,168.072979,323880.001798,0.473137,51.214073,125656.953259
300,440,4,4,64,500,500,500,126285.57303900001,172.686363,92575.441502,0.482352,49.621855,33487.340967
300,440,2,4,32,250,250,250,117058.771409,173.40094,84776.496613,0.412218,50.374501,32058.087137
300,440,4,4,64,2000,2000,2000,488359.947766,171.435178,357099.396158,0.479713,49.177781,131039.458936
300,440,2,4,32,2000,2000,2000,893847.7881560001,167.554218,642947.564676,0.411991,47.224732,250685.032539
300,440,4,4,64,250,250,250,66219.145302,171.672974,48729.246011,0.459532,53.381247,17264.385538
300,440,8,4,128,250,250,250,39270.692146,171.241457,29334.396638,0.5484,52.272287,9712.233364
300,440,8,4,128,2000,2000,2000,272850.131148,170.025099,201192.70945,0.469322,50.627,71436.300277
300,440,8,4,128,500,500,500,72874.506386,167.701375,54089.359845,0.533188,51.556458,18565.35552
300,440,8,4,128,1000,1000,1000,138903.76808999997,171.340669,102478.483109,0.507636,48.592565,36204.844111
300,440,2,4,32,500,500,500,229537.352781,173.46645,164202.070231,0.423751,48.823829,65112.56852
300,440,4,4,64,1000,1000,1000,246992.443246,170.807117,180702.57328,0.469805,51.334861,66067.258183
300,440,2,4,32,1000,1000,1000,449574.91637500003,173.417634,323648.835796,0.448125,51.444454,125700.770366
300,440,4,4,64,500,500,500,127533.46930999999,170.633222,93979.008517,0.45769,51.116856,33332.253025
300,440,2,4,32,250,250,250,118814.78262099999,172.427746,85537.699818,0.518261,51.559341,33052.577455
300,440,4,4,64,2000,2000,2000,488195.340236,168.762317,357039.456067,0.384892,49.375957,130937.361003
300,440,2,4,32,2000,2000,2000,893557.9434049999,170.113237,642711.552469,0.438141,49.490594,250626.348964
300,440,4,4,64,250,250,250,66232.73086,173.605362,48828.837572,0.548874,50.310005,17179.429047
300,440,8,4,128,250,250,250,39096.414577,171.319231,29164.606178,0.518667,50.093322,9709.877179
300,440,8,4,128,2000,2000,2000,272506.948338,163.909562,201161.584904,0.462829,48.858487,71132.132556
300,440,8,4,128,500,500,500,72665.61732399999,171.592946,53941.042073,0.497797,51.957854,18500.526654
300,440,8,4,128,1000,1000,1000,138733.204207,167.702205,102513.003238,0.909001,74.083935,35977.505828
300,440,2,4,32,500,500,500,227884.69661200003,171.997867,164268.153354,0.471877,53.245109,63390.828405
300,440,4,4,64,1000,1000,1000,246914.724161,169.69994,180786.72451,0.452034,52.916123,65904.931554
300,440,2,4,32,1000,1000,1000,454129.80973900005,170.911287,323789.083554,0.449963,50.631993,130118.732942
300,440,4,4,64,500,500,500,126615.976073,174.485787,92933.24922,0.396246,51.977817,33455.867003
300,440,2,4,32,250,250,250,117550.57943299999,181.784712,84146.943149,0.450289,52.864596,33168.536687
300,440,4,4,64,2000,2000,2000,487887.764254,171.001505,356804.086011,0.38779,48.455891,130863.833057
300,440,4,4,64,250,250,250,66241.97378,171.573946,48803.371267,0.499752,49.093431,17217.435384
300,440,8,4,128,250,250,250,39319.746805,172.313583,29244.522533,0.613676,69.616367,9832.680646
300,440,8,4,128,2000,2000,2000,272109.59880599997,170.255947,200860.928272,0.476606,49.47936,71028.458621
300,440,8,4,128,500,500,500,72538.457434,171.170432,53838.323499,0.630997,49.419324,18478.913182
300,440,8,4,128,1000,1000,1000,139044.784238,162.778379,102855.447075,0.476611,52.26207,35973.820103
300,440,2,4,32,500,500,500,229792.648543,166.587363,164089.315682,0.453891,55.260978,65481.030629
300,440,4,4,64,1000,1000,1000,246762.864584,166.907163,180680.327981,0.458851,49.653974,65865.516615
300,440,2,4,32,1000,1000,1000,449854.869572,169.352982,323939.282789,0.484786,52.680078,125693.068937
300,440,4,4,64,500,500,500,126488.05985299998,170.666242,92931.976237,0.504779,49.44398,33335.468615
300,440,2,4,32,250,250,250,116428.69662500001,170.466963,84322.340379,0.388688,51.418969,31884.081626
300,440,4,4,64,2000,2000,2000,487612.389228,173.494155,356619.119969,0.486317,50.284058,130769.004729
300,440,2,4,32,2000,2000,2000,894017.61864,166.057657,643142.884825,0.433725,52.979779,250655.262654
300,440,4,4,64,250,250,250,66082.43732099999,167.349394,48842.544609,0.468991,51.421097,17020.65323
300,440,8,4,128,250,250,250,39033.867677999995,165.660194,29191.948995,0.521275,50.129147,9625.608067
300,440,8,4,128,2000,2000,2000,273073.999768,169.368832,201965.346491,0.427838,48.067334,70890.789273
