element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
# fd3209d486d9ab9270b2dcb5a649115f1fcd4379 
150,220,2,4,32,0,0,0,9356.629637,201.675353,7952.141529,0.0,0.0,1202.812755
150,220,1,1,4,0,0,0,19254.6895,251.105679,15934.00999,0.0,0.0,3069.573831
150,220,2,1,8,0,0,0,67702.097641,208.414985,65046.083485,0.0,0.0,2447.599171
150,220,2,2,16,0,0,0,12123.402305000001,215.111068,10488.782396,0.0,0.0,1419.508841
150,220,2,4,32,0,0,0,15533.667760999999,206.689649,14238.57685,0.0,0.0,1088.401262
150,220,1,1,4,0,0,0,18719.928680999998,203.684804,17331.693191,0.0,0.0,1184.550686
150,220,2,1,8,0,0,0,91533.65578300001,203.073835,89377.022943,0.0,0.0,1953.559005
150,220,2,2,16,0,0,0,20066.276097,201.694434,18623.048401,0.0,0.0,1241.533262
150,220,2,4,32,0,0,0,12986.576576,205.412817,11512.815939,0.0,0.0,1268.34782
150,220,1,1,4,0,0,0,20193.972296,204.559845,17550.233265,0.0,0.0,2439.179186
150,220,2,1,8,0,0,0,75547.47385299999,210.087145,73481.983203,0.0,0.0,1855.403505
150,220,2,2,16,0,0,0,12922.019233,204.680893,11241.677497,0.0,0.0,1475.660843
150,220,2,4,32,0,0,0,12502.161004,202.906555,11171.603337,0.0,0.0,1127.651112
150,220,1,1,4,0,0,0,19094.030092,209.091417,15379.138037,0.0,0.0,3505.800638
150,220,2,1,8,0,0,0,95762.697203,212.071809,71760.301875,0.0,0.0,23790.323519
150,220,2,2,16,0,0,0,21204.968671000002,200.423103,19668.264649,0.0,0.0,1336.280919
150,220,2,4,32,0,0,0,11326.673085,200.590857,9797.978681,0.0,0.0,1328.103547
150,220,1,1,4,0,0,0,18537.098399,204.147655,15024.646657,0.0,0.0,3308.304087
150,220,2,1,8,0,0,0,85749.67087399999,196.859583,80215.372939,0.0,0.0,5337.438352
150,220,2,2,16,0,0,0,11384.79043,205.226362,10301.066406,0.0,0.0,878.497662
150,220,2,4,32,0,0,0,13905.530886,201.602665,12579.0236,0.0,0.0,1124.904621
150,220,1,1,4,0,0,0,18355.850082999998,218.494184,15938.522675,0.0,0.0,2198.833224
150,220,2,1,8,0,0,0,79222.28564,197.647469,63211.244444,0.0,0.0,15813.393727
150,220,2,2,16,0,0,0,12000.211996,202.648826,10693.848392,0.0,0.0,1103.714778
150,220,2,4,32,0,0,0,7398.6935029999995,196.672093,6163.998591,0.0,0.0,1038.022819
150,220,1,1,4,0,0,0,18249.484137,194.914709,16027.353137,0.0,0.0,2027.216291
150,220,2,1,8,0,0,0,74686.85413,204.666656,63853.88732,0.0,0.0,10628.300154
150,220,2,2,16,0,0,0,18304.850498,209.638043,16482.65079,0.0,0.0,1612.561665
150,220,2,4,32,0,0,0,15990.041829000002,203.090625,14970.312731,0.0,0.0,816.638473
150,220,1,1,4,0,0,0,18851.207962,200.681676,16675.179075,0.0,0.0,1975.347211
150,220,2,1,8,0,0,0,86877.927424,195.546687,85474.15171,0.0,0.0,1208.229027
150,220,2,2,16,0,0,0,12877.264599000002,197.191854,11254.079159,0.0,0.0,1425.993586
150,220,2,4,32,0,0,0,17598.896943,197.767682,16434.291489,0.0,0.0,966.837772
150,220,1,1,4,0,0,0,18648.888772,195.506981,17252.491569,0.0,0.0,1200.890222
150,220,2,1,8,0,0,0,76990.181273,200.4273,68574.165517,0.0,0.0,8215.588456
150,220,2,2,16,0,0,0,11004.732314,197.36895,9336.316962,0.0,0.0,1471.046402
150,220,2,4,32,0,0,0,21227.896393,202.01554,18839.339889,0.0,0.0,2186.540964
150,220,1,1,4,0,0,0,19360.091672,198.56185,17931.972613,0.0,0.0,1229.557209
150,220,2,1,8,0,0,0,65576.240627,199.217545,63840.877457,0.0,0.0,1536.145625
150,220,2,2,16,0,0,0,22659.462401,202.079872,21552.915656,0.0,0.0,904.466873
