element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
300,440,4,4,64,250,250,250,66219.145302,171.672974,48729.246011,0.459532,53.381247,17264.385538
300,440,8,4,128,250,250,250,39270.692146,171.241457,29334.396638,0.5484,52.272287,9712.233364
300,440,8,4,128,2000,2000,2000,272850.131148,170.025099,201192.70945,0.469322,50.627,71436.300277
300,440,8,4,128,500,500,500,72874.506386,167.701375,54089.359845,0.533188,51.556458,18565.35552
300,440,8,4,128,1000,1000,1000,138903.76808999997,171.340669,102478.483109,0.507636,48.592565,36204.844111
300,440,2,4,32,500,500,500,229537.352781,173.46645,164202.070231,0.423751,48.823829,65112.56852
300,440,4,4,64,1000,1000,1000,246992.443246,170.807117,180702.57328,0.469805,51.334861,66067.258183
300,440,2,4,32,1000,1000,1000,449574.91637500003,173.417634,323648.835796,0.448125,51.444454,125700.770366
300,440,4,4,64,500,500,500,127533.46930999999,170.633222,93979.008517,0.45769,51.116856,33332.253025
300,440,2,4,32,250,250,250,118814.78262099999,172.427746,85537.699818,0.518261,51.559341,33052.577455
300,440,4,4,64,2000,2000,2000,488195.340236,168.762317,357039.456067,0.384892,49.375957,130937.361003
300,440,2,4,32,2000,2000,2000,893557.9434049999,170.113237,642711.552469,0.438141,49.490594,250626.348964
300,440,4,4,64,250,250,250,66232.73086,173.605362,48828.837572,0.548874,50.310005,17179.429047
300,440,8,4,128,250,250,250,39096.414577,171.319231,29164.606178,0.518667,50.093322,9709.877179
300,440,8,4,128,2000,2000,2000,272506.948338,163.909562,201161.584904,0.462829,48.858487,71132.132556
300,440,8,4,128,500,500,500,72665.61732399999,171.592946,53941.042073,0.497797,51.957854,18500.526654
300,440,8,4,128,1000,1000,1000,138733.204207,167.702205,102513.003238,0.909001,74.083935,35977.505828
300,440,2,4,32,500,500,500,227884.69661200003,171.997867,164268.153354,0.471877,53.245109,63390.828405
300,440,4,4,64,1000,1000,1000,246914.724161,169.69994,180786.72451,0.452034,52.916123,65904.931554
300,440,2,4,32,1000,1000,1000,454129.80973900005,170.911287,323789.083554,0.449963,50.631993,130118.732942
300,440,4,4,64,500,500,500,126615.976073,174.485787,92933.24922,0.396246,51.977817,33455.867003
300,440,2,4,32,250,250,250,117550.57943299999,181.784712,84146.943149,0.450289,52.864596,33168.536687
300,440,4,4,64,2000,2000,2000,487887.764254,171.001505,356804.086011,0.38779,48.455891,130863.833057
300,440,4,4,64,250,250,250,66241.97378,171.573946,48803.371267,0.499752,49.093431,17217.435384
300,440,8,4,128,250,250,250,39319.746805,172.313583,29244.522533,0.613676,69.616367,9832.680646
300,440,8,4,128,2000,2000,2000,272109.59880599997,170.255947,200860.928272,0.476606,49.47936,71028.458621
300,440,8,4,128,500,500,500,72538.457434,171.170432,53838.323499,0.630997,49.419324,18478.913182
300,440,8,4,128,1000,1000,1000,139044.784238,162.778379,102855.447075,0.476611,52.26207,35973.820103
300,440,2,4,32,500,500,500,229792.648543,166.587363,164089.315682,0.453891,55.260978,65481.030629
300,440,4,4,64,1000,1000,1000,246762.864584,166.907163,180680.327981,0.458851,49.653974,65865.516615
300,440,2,4,32,1000,1000,1000,449854.869572,169.352982,323939.282789,0.484786,52.680078,125693.068937
300,440,4,4,64,500,500,500,126488.05985299998,170.666242,92931.976237,0.504779,49.44398,33335.468615
300,440,2,4,32,250,250,250,116428.69662500001,170.466963,84322.340379,0.388688,51.418969,31884.081626
300,440,4,4,64,2000,2000,2000,487612.389228,173.494155,356619.119969,0.486317,50.284058,130769.004729
300,440,2,4,32,2000,2000,2000,894017.61864,166.057657,643142.884825,0.433725,52.979779,250655.262654
300,440,4,4,64,250,250,250,66082.43732099999,167.349394,48842.544609,0.468991,51.421097,17020.65323
300,440,8,4,128,250,250,250,39033.867677999995,165.660194,29191.948995,0.521275,50.129147,9625.608067
300,440,8,4,128,2000,2000,2000,273073.999768,169.368832,201965.346491,0.427838,48.067334,70890.789273
300,440,8,4,128,500,500,500,72395.016009,171.187892,53801.66758,0.501812,50.217435,18371.44129
300,440,8,4,128,1000,1000,1000,138580.49026,169.503118,102494.584391,0.623021,54.144448,35861.635282
300,440,2,4,32,500,500,500,227510.32855,173.781931,164135.420556,0.465689,53.172609,63147.487765
300,440,4,4,64,1000,1000,1000,246948.58919000003,168.189137,180991.21452,0.436271,52.777482,65735.97178
300,440,2,4,32,1000,1000,1000,449795.558725,169.897024,323966.212683,0.463988,51.92599,125607.05904
300,440,4,4,64,500,500,500,126536.92868400001,167.754118,93106.280408,0.455038,47.26742,33215.1717
300,440,2,4,32,250,250,250,117812.19266100001,174.064575,84482.602647,0.456578,52.111585,33102.957276
300,440,4,4,64,2000,2000,2000,488664.59701100003,169.972979,357326.66089,0.388975,49.379849,131118.194318
300,440,2,4,32,2000,2000,2000,893611.4536320001,167.944875,642647.789918,0.440657,49.426324,250745.851858
300,440,4,4,64,250,250,250,66137.029868,168.030379,48774.106672,0.494731,53.645308,17140.752778
300,440,8,4,128,250,250,250,39437.044729,174.868496,29468.184742,0.459544,48.113958,9745.417989
