element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
#a7b12430aec91945a8ea9e90e43e5e4d63ea85ba 
150,220,2,2,16,2000,2000,2000,506245.382186,195.934873,354969.840863,0.567037,37.05807,151041.981343
150,220,2,2,16,500,500,500,137689.035334,193.286757,98737.297584,0.517201,37.559479,38720.374313
150,220,2,1,8,250,250,250,152093.197423,194.132436,112541.119732,0.496646,30.373812,39327.074797
150,220,1,1,4,250,250,250,225797.86730800002,192.544873,152459.647481,0.555709,32.69534,73112.423905
150,220,2,4,32,500,500,500,88940.30886899997,195.182796,67594.352565,0.418119,34.328803,21116.026586
150,220,2,1,8,1000,1000,1000,482501.975749,193.420146,326524.946537,0.509356,34.93421,155748.1655
150,220,2,4,32,2000,2000,2000,283066.964824,196.172468,201985.216233,0.470574,57.271033,80827.834516
150,220,2,4,32,1000,1000,1000,142689.62283,206.861852,101469.036759,0.946187,56.774565,40956.003467
150,220,2,4,32,250,250,250,56913.362574000006,196.752606,45656.202162,0.602244,39.913107,11019.892455
150,220,2,1,8,500,500,500,370230.18117699993,193.332151,291789.805387,0.544961,34.989337,78211.509341
150,220,2,4,32,4000,4000,4000,536448.135279,205.016554,375239.678181,0.426992,36.52728,160966.486272
150,220,2,2,16,1000,1000,1000,252037.023813,199.354043,175987.522341,0.573546,36.868883,75812.705
150,220,2,2,16,250,250,250,101133.30387100001,199.788572,81174.75057,0.493836,41.110574,19717.160319
150,220,2,2,16,2000,2000,2000,509099.307239,193.929986,357957.093665,0.575524,39.379474,150908.32859
150,220,2,2,16,2000,2000,2000,504897.19473399996,236.205962,353670.792593,0.455744,36.065662,150953.674773
150,220,2,2,16,1000,1000,1000,253212.174585,213.558878,177222.448756,0.485685,37.673657,75738.007609
150,220,1,1,4,250,250,250,226257.18331500003,209.597409,152903.933593,0.517376,34.103065,73109.031872
150,220,2,2,16,0,0,0,14121.146658,200.853494,10318.913163,0.455444,35.952203,3564.972354
150,220,2,1,8,0,0,0,16662.577285,215.228044,15899.828469,0.591543,42.031047,504.898182
150,220,2,2,16,250,250,250,69568.424272,202.037311,49825.38776,0.747852,67.905858,19472.345491
150,220,2,1,8,250,250,250,181870.323387,203.369911,96398.826949,0.484455,37.988047,85229.654025
150,220,2,2,16,120,120,120,54240.192408999996,195.936181,37115.300465,0.555047,40.111506,16888.28921
150,220,1,1,4,120,120,120,179612.140878,202.380521,104311.985498,0.397637,25.975234,75071.401988
150,220,2,2,16,500,500,500,130378.63199000001,213.067548,91935.038822,0.602649,40.084801,38189.83817
150,220,2,1,8,1000,1000,1000,478477.02005100006,199.392994,322681.970611,0.435652,32.653881,155562.566913
150,220,1,1,4,500,500,500,437697.699172,248.087596,291797.773436,0.468614,38.056813,145613.312713
150,220,2,2,16,1000,1000,1000,253035.03951600002,197.82186,177091.112371,0.504468,40.851033,75704.749784
150,220,1,1,4,2000,2000,2000,1691802.4997000003,206.533181,1110961.874428,0.474598,35.034593,580598.5829
150,220,2,2,16,2000,2000,2000,493863.26158,194.088857,342960.065257,0.614228,44.42583,150664.067408
150,220,2,1,8,2000,2000,2000,937343.9535099999,200.880215,626577.547849,0.424043,30.209459,310534.891944
150,220,2,1,8,500,500,500,256555.257338,206.574416,178215.74504,0.560553,41.893464,78090.483865
#fd3209d486d9ab9270b2dcb5a649115f1fcd4379 
150,220,2,1,8,120,120,120,120538.31141800001,207.339074,76581.469582,0.512623,33.844228,43715.145911
150,220,2,2,16,0,0,0,11599.893652000002,205.40666,11157.319528,0.399836,34.250131,202.517497
150,220,2,2,16,120,120,120,51162.876151000004,194.672131,41628.082271,0.542175,40.941217,9298.638357
150,220,1,1,4,0,0,0,17302.907374,208.565558,16825.076425,0.592254,38.65505,230.018087
150,220,1,1,4,1000,1000,1000,857373.8067669999,209.399806,566524.836471,0.531977,35.781418,290603.257095
150,220,2,2,16,500,500,500,135577.900964,196.887857,96944.546537,0.687615,38.948333,38396.830622
150,220,2,2,16,250,250,250,99255.609226,194.025037,79236.950187,0.523986,37.88318,19786.226836
150,220,2,1,8,120,120,120,112933.117513,196.531361,71285.291813,0.599714,30.197475,41420.49715
150,220,2,2,16,0,0,0,19372.770495,193.89934,18967.091944,0.465767,37.524182,173.789262
150,220,2,2,16,120,120,120,53314.87150500001,195.218545,42629.651933,0.481096,38.173519,10451.346412
150,220,1,1,4,250,250,250,226136.01551300002,201.966793,152760.244813,0.478471,33.913806,73139.41163
150,220,2,1,8,2000,2000,2000,937188.3885929999,212.164103,626292.828017,0.544072,37.616162,310645.236239
150,220,2,2,16,2000,2000,2000,491875.39326399995,195.403893,340741.264147,0.584321,38.090851,150900.050052
150,220,2,2,16,1000,1000,1000,252249.65991,199.538828,176121.81654,0.482526,37.381806,75890.44021
150,220,2,1,8,1000,1000,1000,477629.14115499996,201.035515,321694.865774,0.496038,39.955922,155692.787906
150,220,2,2,16,2000,2000,2000,494500.477727,199.973805,343386.081097,0.579228,38.288876,150875.554721 
150,220,1,1,4,2000,2000,2000,1696340.069855,204.708243,1115393.704558,0.489638,36.386891,580704.780525
150,220,2,1,8,250,250,250,182944.21536,249.664112,105533.280965,0.505783,34.522989,77126.241511
150,220,2,2,16,250,250,250,71853.100428,194.940989,52138.471662,0.543381,50.48851,19468.655886
150,220,2,2,16,1000,1000,1000,260885.51533100003,216.690432,184778.150327,0.514327,41.00181,75849.158435
